Gene,data_shape,Train_data,Test_data,Accuracy,Precision,Recall,F1-Score,ROC_AUC_Class_Resistant,ROC_AUC_Class_Susceptible,G_score_Importance,Proximity_to_R_Conferring_Importance,Frequency_Importance,category3_instances,Predicted_Confidence_0_Count,Predicted_Confidence_1_Count
rpoB,"(95, 13)","(66, 3)","(29, 3)",0.9655172413793104,0.9667487684729064,0.9655172413793104,0.9600835945663531,1.0,1.0,0.3722982784274996,0.467075093687711,0.16062662788478946,489,39,450
inhA,"(4, 13)","(2, 3)","(2, 3)",1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.2692307692307692,0.34615384615384615,111,68,43
katG,"(7, 13)","(4, 3)","(3, 3)",1.0,1.0,1.0,1.0,1.0,1.0,0.32857142857142857,0.39047619047619053,0.280952380952381,593,352,241
embB,"(21, 13)","(14, 3)","(7, 3)",0.5714285714285714,0.7857142857142857,0.5714285714285714,0.5142857142857143,0.7916666666666666,0.7916666666666667,0.3775572358480521,0.4616622709101065,0.1607804932418414,575,575,0
pncA,"(202, 13)","(141, 3)","(61, 3)",0.9508196721311475,0.9349726775956284,0.9508196721311475,0.9428295908527345,0.11016949152542373,0.11016949152542371,0.3732307574907077,0.3153463971497907,0.31142284535950165,97,97,0
gyrA,"(42, 13)","(29, 3)","(13, 3)",1.0,1.0,1.0,1.0,1.0,1.0,0.3074305677745461,0.410204395059686,0.282365037165768,574,0,574
rpsL,"(4, 13)","(2, 3)","(2, 3)",1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,29,29,0
gid,"(11, 13)","(7, 3)","(4, 3)",0.75,0.5625,0.75,0.6428571428571428,0.6666666666666666,0.6666666666666667,0.2536111111111111,0.2825730994152047,0.4638157894736843,349,349,0
ethA,"(9, 13)","(6, 3)","(3, 3)",1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,410,410,0
