model,mode,sensitivity,specificity,auc,accuracy,precision_res,recall_res,f1_res,threshold,n_samples,n_test,n_train,dataset,ablation,dropped_cols
rf,cv,0.9296610169491526,0.74,0.9050251098556183,0.9043478260869564,0.9589392155459715,0.9296610169491526,0.943617192472062,0.735,345,,,Combined,drop_Rosetta,6
logistic,holdout,0.346,0.833,0.686,0.438,0.9,0.346,0.5,0.717,159,32.0,127.0,Essential,drop_Proximity,1
logistic,cv,0.672923076923077,0.49523809523809526,0.5807326007326008,0.6352822580645161,0.8523287385129489,0.672923076923077,0.7445605876152918,0.495,159,,,Essential,drop_Proximity,1
rf,holdout,0.385,0.833,0.76,0.469,0.909,0.385,0.541,0.835,159,32.0,127.0,Essential,drop_Proximity,1
rf,cv,0.664923076923077,0.5523809523809524,0.645010989010989,0.6425403225806452,0.8591934381408066,0.664923076923077,0.7485836627140976,0.8,159,,,Essential,drop_Proximity,1
logistic,holdout,0.743,1.0,0.914,0.763,1.0,0.743,0.852,0.873,186,38.0,148.0,Nonessential,drop_Proximity,1
logistic,cv,0.9176470588235294,0.5833333333333333,0.8259803921568627,0.8873399715504979,0.9584121507840674,0.9176470588235294,0.9368174497373453,0.356,186,,,Nonessential,drop_Proximity,1
rf,holdout,0.714,0.667,0.614,0.711,0.962,0.714,0.82,0.945,186,38.0,148.0,Nonessential,drop_Proximity,1
rf,cv,0.8705882352941176,0.24999999999999994,0.7068627450980391,0.8170697012802275,0.9253535816187128,0.8705882352941176,0.8964221555441924,0.845,186,,,Nonessential,drop_Proximity,1
logistic,holdout,0.783,0.556,0.713,0.754,0.922,0.783,0.847,0.492,345,69.0,276.0,Combined,drop_Proximity,1
logistic,cv,0.7287005649717513,0.58,0.700797237915882,0.7072463768115942,0.9192528583927734,0.7287005649717513,0.8079447227598461,0.557,345,,,Combined,drop_Proximity,1
rf,holdout,0.767,0.556,0.746,0.739,0.92,0.767,0.836,0.855,345,69.0,276.0,Combined,drop_Proximity,1
