Dataset,Labeled Samples,Reclassified Variants,Model,Holdout AUC,Holdout Accuracy,Holdout Sens (R),Holdout Spec (S),Holdout Support R,Holdout Support S,Temporal AUC,Temporal Accuracy,Temporal F1 (R),Temporal Sens (R),Temporal Spec (S),Temporal Support R,Temporal Support S,Temporal Incorrect,Type I Error,Type II Error
Essential,159,7,GAM,0.7094017094017094,0.8125,1.0,0.0,39,9,1.0,0.8571428571428571,0.9230769230769231,1.0,0.0,6,1,1,1.0,0.0
Essential,159,7,MARS,0.9173789173789173,0.9583333333333334,0.9743589743589743,0.8888888888888888,39,9,0.8333333333333334,0.8571428571428571,0.9090909090909091,0.8333333333333334,1.0,6,1,1,0.0,0.16666666666666666
Nonessential,186,55,GAM,0.44314868804664725,0.875,1.0,0.0,49,7,0.46568627450980393,0.9272727272727272,0.9622641509433962,1.0,0.0,51,4,4,1.0,0.0
Nonessential,186,55,MARS,0.5830903790087463,0.8214285714285714,0.9387755102040817,0.0,49,7,0.27450980392156865,0.8727272727272727,0.9320388349514563,0.9411764705882353,0.0,51,4,7,1.0,0.058823529411764705
Combined,345,62,GAM,0.8627450980392157,0.8557692307692307,1.0,0.11764705882352941,87,17,0.5578947368421052,0.9354838709677419,0.9661016949152542,1.0,0.2,57,5,4,0.8,0.0
Combined,345,62,MARS,0.8793103448275862,0.9038461538461539,0.9655172413793104,0.5882352941176471,87,17,0.8210526315789474,0.8709677419354839,0.9285714285714286,0.9122807017543859,0.4,57,5,8,0.6,0.08771929824561403
